fpl_player_name,fbref_player_name
Jorge Luiz Frello Filho,Jorginho
Norberto Bercique Gomes Betuncal,Beto
Diogo Teixeira da Silva,Diogo Jota
Carlos Henrique Casimiro,Casemiro
Felipe Rodrigues da Silva,Morato
João Pedro Ferreira Silva,Jota Silva
Lucas Tolentino Coelho de Lima,Lucas Paquetá
Trevoh Chalobah,Trevoh Chalobah
Jaden Philogene,Jaden Philogene
Axel Disasi,Axel Disasi
Eberechi Eze,Eberechi Eze
Estêvão Almeida de Oliveira Gonçalves,Estêvão Willian
Nico González Iglesias,Nicolás González
João Pedro Ferreira da Silva,Jota Silva
Harvey Elliott,Harvey Elliott
Marc Guiu Paz,Marc Guiu
Yéremy Pino Santos,Yeremi Pino
